R,alpha,E,V
0.4,0.407,-0.1202028,-2.3630289
0.45,0.416,-0.3509282,-2.502431
0.5,0.442,-0.526627,-2.5917873
0.55,0.4836,-0.6627583,-2.6465583
0.6,0.5223,-0.7696253,-2.67696
0.65,0.5601,-0.8543531,-2.6899756
0.70,0.5966,-0.9220185,-2.6904717
0.75,0.6314,-0.9763287,-2.6819152
0.8,0.6745,-1.0200487,-2.6668265
0.9,0. 7334,-1.0836362,-2.6239031
1,0.8025,-1.1245331,-2.5715414
1.1,0.856,-1.1500512,-2.5152963
1.2,0.9148,-1.1649294,-2.4584158
1.3,0.9723,-1.1723414,-2.4027857
1.35,1,-1.1739581,-2.3758036
1.39,1.021,-1.1744472,-2.3547044
1.4,1.027,-1.1744699,-2.3495022
1.401,1.027,-1.1744701,-2.3489835
1.4011,1.027,-1.1744701,-2.3489315
1.41,1.031,-1.1744556,-2.3443296
1.45,1.054,-1.1740513,-2.3239486
1.5,1.078,-1.1728492,-2.2991869
1.6,1.132,-1.1685773,-2.2521693
1.7,1.187,-1.1624521,-2.2085964
1.8,1.249,-1.1550616,-2.1685117
1.9,1.308,-1.1468425,-2.1318795
2,1.362,-1.1381236,-2.0986316
2.1,1.427,-1.1291528,-2.0686852
2.2,1.486,-1.120119,-2.0419222
2.3,1.554,-1.1111659,-2.0182412
2.4,1.614,-1.1024035,-1.9975034
2.5,1.676,-1.0939149,-1.9795924
2.6,1.747,-1.0857627,-1.9643862
2.7,1.806,-1.0779927,-1.9517054
2.8,1.863,-1.0706404,-1.9414292
2.9,1.926,-1.0637259,-1.9334036
3,2,-1.0572607,-1.9274598
3.1,2.067,-1.0512547,-1.9234024
3.2,2.126,-1.0457057,-1.9210074
3.3,2.192,-1.040602,-1.9201199
3.4,2.262,-1.0359419,-1.9205494
3.6,2.382,-1.0278471,-1.9242625
3.7,2.517,-1.0243742,-1.9276723